model,fixture,bucket,member,fq,lane,decision_use,score,max_score,in_lane1_total,note
opus,orphan-scene-broken,S,broken,FQ1,1,report,3,3,true,scene inventory
opus,orphan-scene-broken,S,broken,FQ2,1,gate,3,3,true,puppet scene located
opus,orphan-scene-broken,S,broken,FQ3,1,gate,3,3,true,causal inertness named
opus,orphan-scene-broken,S,broken,FQ4,1,gate,3,3,true,Should-Fix in band
opus,orphan-scene-broken,S,broken,FQ6,1,gate,3,3,true,braid outcome or retire props
opus,orphan-scene-broken,S,broken,FQ7,1,gate,3,3,true,defect as planted
opus,orphan-scene-clean,S,clean,FQ1,1,report,3,3,true,scene inventory
opus,orphan-scene-clean,S,clean,FQ7,1,gate,3,3,true,no orphan-scene fire
opus,pov-break-broken,P,broken,FQ1,1,report,3,3,true,scene inventory
opus,pov-break-broken,P,broken,FQ2,1,gate,3,3,true,all three access violations cited
opus,pov-break-broken,P,broken,FQ3,1,gate,3,3,true,POV access mechanism
opus,pov-break-broken,P,broken,FQ4,1,gate,3,3,true,Must-Fix and Should-Fix in band
opus,pov-break-broken,P,broken,FQ6,1,gate,3,3,true,restore or redeclare POV contract
opus,pov-break-broken,P,broken,FQ7,1,gate,3,3,true,defect as planted
opus,pov-break-clean,P,clean,FQ1,1,report,3,3,true,scene inventory
opus,pov-break-clean,P,clean,FQ7,1,gate,3,3,true,no POV fire
opus,unpaid-setup-broken,R,broken,FQ1,1,report,3,3,true,scene inventory
opus,unpaid-setup-broken,R,broken,FQ2,1,gate,3,3,true,key setup locus recovered
opus,unpaid-setup-broken,R,broken,FQ3,1,gate,3,3,true,unpaid setup mechanism
opus,unpaid-setup-broken,R,broken,FQ4,1,gate,3,3,true,Must-Fix plus positive SP delta
opus,unpaid-setup-broken,R,broken,FQ6,1,gate,3,3,true,restore payoff or reduce setup
opus,unpaid-setup-broken,R,broken,FQ7,1,gate,3,3,true,defect as planted
opus,unpaid-setup-clean,R,clean,FQ1,1,report,3,3,true,scene inventory
opus,unpaid-setup-clean,R,clean,FQ7,1,gate,3,3,true,registered key setup paid
opus,yellow-wallpaper-voice-control,P+S,control,FQ1,1,report,3,3,true,entry movement inventory
opus,yellow-wallpaper-voice-control,P+S,control,FQ7,1,gate,3,3,true,intentional unreliable voice
opus,gift-of-magi-reveal-control,R,control,FQ1,1,report,3,3,true,scene inventory
opus,gift-of-magi-reveal-control,R,control,FQ7,1,gate,3,3,true,twin reveal fair
opus,christmas-carol-arc-control,S,control,FQ1,1,report,3,3,true,five-stave inventory
opus,christmas-carol-arc-control,S,control,FQ7,1,gate,3,3,true,registered devices not pathologized
opus,christmas-carol-arc-control,S,control,FQ5,2,report,3,3,false,provisional arc band report only
